,uwwName,uwwLatitude,uwwLongitude,the_geom
130,Macclesfield ,53.30065565,-2.15737612,POINT (-2.1573761149999995 53.30065568600221)
131,Madeley ,53.00263732,-2.34419386,POINT (-2.3441938630000005 53.00263735633613)
132,Melling ,53.48335612,-2.92177216,POINT (-2.9217721569999995 53.483356155792656)
133,Mere Brow ,53.66313364,-2.87317759,POINT (-2.873177588 53.663133675582884)
134,Middlewich ,53.19228913,-2.43222181,POINT (-2.4322218090000005 53.19228916612478)
135,Millom ,54.20405418,-3.23992303,POINT (-3.2399230270000015 54.20405421493121)
136,Milnthorpe ,54.22727719,-2.78717973,POINT (-2.7871797250000006 54.22727722490255)
137,Mobberley ,53.31909832,-2.32662181,POINT (-2.3266218079999996 53.31909835598122)
138,Morecambe ,54.02149982,-2.89671106,POINT (-2.89671106 54.02149985515454)
139,Mossley ,53.50082031,-2.04006231,POINT (-2.0400623140000005 53.50082034577242)
140,Nantwich ,53.08357167,-2.51040614,POINT (-2.5104061439999996 53.083571706246424)
141,Stockport ,53.40503254,-2.20424018,POINT (-2.204240181 53.40503257588295)
142,Stretford ,53.43494772,-2.33172485,POINT (-2.3317248540000004 53.43494775584852)
143,Hailsham South ,50.85253373,0.26797136,POINT (0.26797136 50.85253376843362)
144,Steyning ,50.895866,-0.31459364,POINT (-0.314593643 50.89586603839706)
145,Billingshurst ,51.01184142,-0.46469558,POINT (-0.4646955769999999 51.011841458298)
146,Overton ,51.24447651,-1.27999552,POINT (-1.2799955179999996 51.24447654809405)
147,Bishops Waltham New ,50.94236381,-1.22918807,POINT (-1.2291880710000003 50.94236384835757)
148,Grimstead ,51.04679815,-1.67286114,POINT (-1.672861135 51.0467981882678)
149,Wirksworth ,53.06665741,-1.57689504,POINT (-1.576895043 53.06665744626524)
150,Wolston ,52.36973019,-1.41737611,POINT (-1.41737611 52.36973022701171)
151,Wood Eaton ,52.76728941,-2.23651234,POINT (-2.2365123440000003 52.76728944659276)
152,Wootton Wawen ,52.25912704,-1.78269643,POINT (-1.7826964320000003 52.259127077124965)
153,Worcester ,52.17873488,-2.22635403,POINT (-2.2263540299999995 52.17873491720634)
154,Worksop ,53.30319188,-1.08581636,POINT (-1.08581636 53.303191915999314)
155,Crowle   ,53.60429632,-0.84432232,POINT (-0.84432232 53.604296355651904)
156,Newry,54.16,-6.332000000000001,POINT (-6.332 54.16000003498541)
157,Edgmond ,52.77390232,-2.43947699,POINT (-2.439476986 52.773902356585644)
158,Ford ,52.72453242,-2.86674242,POINT (-2.866742419 52.72453245663869)
159,Froghall ,53.01985044,-1.96285457,POINT (-1.9628545690000003 53.019850476317124)
160,Haxey ,53.47846036,-0.8451823,POINT (-0.845182302 53.4784603957983)
161,Whitehouse (Newtownabbey),54.651,-5.915,POINT (-5.915000000000001 54.65100003437031)
162,Ballyrickard,54.56,-5.699,POINT (-5.699000000000002 54.56000003448611)
163,Cheltenham ,51.92217731,-2.14784728,POINT (-2.1478472760000002 51.922177347460874)
164,Newtownbreda,54.562,-5.9270000000000005,POINT (-5.927 54.56200003448355)
165,Keyworth ,52.86661712,-1.10259347,POINT (-1.102593472 52.86661715648524)
166,Newtownstewart,54.7205,-7.3805,POINT (-7.3805000000000005 54.72050003428132)
167,Omagh,54.638000000000005,-6.175,POINT (-6.174999999999999 54.638000034386906)
168,Kinoulton ,52.87036758,-0.97712731,POINT (-0.9771273139999999 52.87036761648115)
169,Loggerheads Village ,52.92193132,-2.39620567,POINT (-2.3962056649999997 52.92193135642485)
170,Longhope ,51.85864993,-2.45068049,POINT (-2.4506804909999995 51.85864996752265)
171,Minsterley ,52.64727452,-2.93054417,POINT (-2.9305441669999994 52.64727455672117)
172,Newbold Verdon ,52.62344352,-1.35087745,POINT (-1.350877451 52.6234435567465)
173,Newport ,52.77010993,-2.39304628,POINT (-2.3930462750000006 52.770109966589715)
174,Overseal ,52.73105816,-1.56978272,POINT (-1.5697827190000002 52.731058196631714)
175,Whitehaven ,54.57426198,-3.57911134,POINT (-3.5791113390000002 54.57426201446801)
176,Widnes ,53.34066915,-2.77480583,POINT (-2.774805831 53.34066918595663)
177,Wigan (Hoscar) ,53.5985267,-2.78461051,POINT (-2.7846105050000003 53.598526735658666)
178,Rathfriland,54.23,-6.1739999999999995,POINT (-6.174 54.23000003489918)
179,Richhill,54.383,-6.541,POINT (-6.541000000000002 54.38300003470901)
180,Saintfield,54.4628,-5.824,POINT (-5.824 54.46280003460889)
181,Wigton ,54.83538701,-3.15689574,POINT (-3.156895742 54.83538704413323)
182,Sion Mills,54.79,-7.468999999999999,POINT (-7.469000000000001 54.790000034191884)
183,Peterborough   ,52.56923553,-0.20166583,POINT (-0.20166583 52.56923556680378)
